<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ROSN,D,20230605,000000,466.0000000,472.4500000,454.5000000,458.6000000,7136698
ROSN,D,20230606,000000,457.1500000,464.9000000,449.2500000,462.1000000,3966640
ROSN,D,20230607,000000,462.1500000,467.9500000,455.8000000,459.8500000,3226315
ROSN,D,20230608,000000,459.9000000,463.8000000,456.0000000,458.1500000,1744934
ROSN,D,20230609,000000,459.4500000,464.2500000,456.7500000,463.5000000,2768614
ROSN,D,20230613,000000,465.6000000,480.0000000,464.7000000,479.8500000,5943556
ROSN,D,20230614,000000,481.9500000,482.8500000,475.2000000,478.4000000,3811387
ROSN,D,20230615,000000,479.2000000,482.0000000,475.5000000,481.7500000,4196826
ROSN,D,20230616,000000,482.2500000,483.7000000,477.3000000,480.4000000,2314326
ROSN,D,20230619,000000,482.4000000,486.4000000,478.0000000,485.8500000,3935767
ROSN,D,20230620,000000,486.9500000,489.6500000,475.6500000,483.4000000,3786462
ROSN,D,20230621,000000,482.5000000,485.7000000,478.8000000,481.3500000,2000281
ROSN,D,20230622,000000,481.4500000,482.9500000,470.5500000,475.4500000,2304212
ROSN,D,20230623,000000,474.3000000,481.0000000,466.1000000,467.5500000,5051402
ROSN,D,20230626,000000,470.1500000,479.3500000,463.9500000,474.4000000,3776916
ROSN,D,20230627,000000,475.8500000,480.0000000,470.4500000,475.8500000,3129590
ROSN,D,20230628,000000,476.0000000,478.9500000,474.1500000,477.0500000,1830009
ROSN,D,20230629,000000,477.1500000,483.8000000,477.0000000,482.1000000,3360300
ROSN,D,20230630,000000,482.7500000,484.5000000,480.7000000,482.3500000,1741581
ROSN,D,20230703,000000,483.6000000,484.5000000,476.5500000,478.0500000,2565081
ROSN,D,20230704,000000,478.3000000,479.1500000,467.6000000,473.4000000,2830233
ROSN,D,20230705,000000,474.2000000,478.5000000,472.2500000,473.9000000,2546844
ROSN,D,20230706,000000,473.5000000,480.0000000,473.5000000,476.7500000,3392491
ROSN,D,20230707,000000,476.0000000,482.9500000,474.5000000,482.4000000,4037618
ROSN,D,20230710,000000,470.1000000,477.9500000,470.0000000,477.4500000,4504388
ROSN,D,20230711,000000,477.5000000,479.4500000,475.7500000,478.8000000,1451978
ROSN,D,20230712,000000,478.7500000,487.8500000,477.9500000,487.0500000,4910749
ROSN,D,20230713,000000,489.2000000,495.8000000,482.3000000,488.4000000,4482654
ROSN,D,20230714,000000,487.5500000,489.9500000,484.3000000,487.6500000,1888727
ROSN,D,20230717,000000,486.0000000,491.8000000,484.0000000,489.3000000,2939269
ROSN,D,20230718,000000,489.2000000,492.6000000,488.6000000,490.1500000,2392982
ROSN,D,20230719,000000,491.0000000,492.0500000,482.5500000,485.9500000,2571885
